PARID,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESS,PROPERTYCITY,PROPERTYSTATE,PROPERTYUNIT,PROPERTYZIP,LOTAREA,YEARBLT,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDU,CDUDESC,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,Computed lot size,Zillow lot size,Observed stories,Observed quality/condition,Interior condition (Zillow),Zillow year built,Zillow bedroom count,Zillow full baths count,Zillow half baths count,Zillow building square footage
0733B00024000000,187,,CENTER ST,SPRINGDALE,PA,,15144,4000,1900,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,1,1556,4018.705,4000,2,Typical,,1900,3,1,1,1556
0188P00196000000,3874,,HILPERT ST,PITTSBURGH,PA,,15227,4480,1954,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,0,1075,3722.959,4480,1 (lower level garage),Typical,,1954,3,2,0,1075
0391G00125000000,675,,JUDITH DR,PITTSBURGH,PA,,15236,8880,1956,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,0,900,8096.575,8712,1 (lower level garage),Typical,Old but solid,1956,3,1,0,900
0432L00056000000,447,,ENGLEWOOD DR,PITTSBURGH,PA,,15237,11718,1976,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,1,1147,10273.97,11761.2,1,Typical,Pretty good,1976,4,1,2,1147
0517B00141000700,5900,,BABCOCK BLVD,PITTSBURGH,PA,UNIT 7,15237,0,1953,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,1,1,0,740,,,1,Typical,,1953,1,1,0,740
0309B00018000000,703,,CLEARVIEW DR,DRAVOSBURG,PA,,15034,7500,1942,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,2,1,0,819,7138.124,,"2 (top floor small, might not count)",Typical,Old,1942,2,1,0,819
1099R00094000000,9155,,MAPLE ST,PITTSBURGH,PA,,15239,9365,1915,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,4,2,0,1820,10425.91,9365,2,Typical,,1915,4,2,0,1820
0800K00003000000,106,,VALLEY VIEW RD,IMPERIAL,PA,,15126,24829,1915,C-,AVERAGE -,4,FAIR,FR,FAIR,3,1,0,2428,19115.13,24829.2,2,Typical,,1915,3,1,0,2428
0087P00275000000,4025,,SALINE ST,PITTSBURGH,PA,,15217,4240,1922,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,4,2,2,2560,4234.503,4238,2,Typical,,1922,4,3,1,2560
0049J00253000000,266,02-Jan,38TH ST,PITTSBURGH,PA,,15201,732,1890,D,BELOW AVERAGE,4,FAIR,FR,FAIR,2,1,0,720,714.1995,732,2,Typical,,1890,3,1,0,720
0033L00277000000,207,,ONYX AVE,PITTSBURGH,PA,,15210,2750,1930,C,AVERAGE,3,AVERAGE,FR,FAIR,2,1,0,1260,2693.111,2750,2,Typical,,1930,2,1,0,1260
0043K00274000000,718,,BOQUET ST,MC KEES ROCKS,PA,,15136,4125,1900,D,BELOW AVERAGE,4,FAIR,FR,FAIR,2,1,0,980,4096.306,4125,2,Typical,,1900,2,1,0,980
1507P00015000C00,615,,CARTERS GROVE DR,GIBSONIA,PA,,15044,2812,1996,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,2,1,1524,2880.271,2812,3,Typical,Pretty good,1996,3,2,1,1524
0193F00225000000,1105,,LINDENDALE DR,PITTSBURGH,PA,,15243,46025,1971,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,4,3,1,1861,47426.18,64468.8,2,Typical,Pretty good,1971,4,2,0,1861
0024C00109000000,210,,HOMER ST,PITTSBURGH,PA,,15212,963,1910,C-,AVERAGE -,4,FAIR,FR,FAIR,2,1,0,1768,1101.289,963,2+attic,Typical,,1910,2,1,0,1768
0602P00282000000,406,,EDGEWORTH LN,SEWICKLEY,PA,,15143,28127,1950,C+,AVERAGE +,2,GOOD,GD,GOOD,3,2,1,2801,27070.92,28314,"2 (top floor small, might not count)",Fancy,Fancy,1950,3,3,2,2801
0079G00123000000,6,,BUTLER ST,PITTSBURGH,PA,,15209,3120,1899,C,AVERAGE,4,FAIR,FR,FAIR,3,1,0,1568,2909.694,3120,2,Typical,Pretty good,1899,3,1,0,1568
0474D00117000000,861,,FREDERICKA DR,BETHEL PARK,PA,,15102,13462,1965,C+,AVERAGE +,2,GOOD,GD,GOOD,5,2,1,2072,12043.26,13503.6,2+garage,Pretty good,,1965,5,2,1,2072
0283C00331000000,600,,WIBLE RUN RD,PITTSBURGH,PA,,15209,26293,1955,C,AVERAGE,3,AVERAGE,AV,AVERAGE,2,1,1,1125,25935.5,26136,1+attic+garage,Typical,,1955,2,1,1,1125
0305L00292000000,1020,,KENNEDY AVE,DUQUESNE,PA,,15110,2483,1928,C-,AVERAGE -,4,FAIR,FR,FAIR,3,1,0,1524,2399.497,2483,2+attic,A bit rough,,1928,3,1,0,1524
0720L00385000000,2935,,CLEARVIEW RD,ALLISON PARK,PA,,15101,43560,1956,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,0,1436,76485.32,43560,1,Typical,,1956,3,1,0,1436
0161E00110000000,2,,NORBERT ST,PITTSBURGH,PA,,15202,7146,1900,D+,BELOW AVERAGE +,3,AVERAGE,FR,FAIR,4,2,0,1596,6597.315,7146,2,Typical,,1900,4,2,0,1596
0243B00117000000,5930,,RODGERS ST EXT,PITTSBURGH,PA,,15207,6497,1941,C,AVERAGE,3,AVERAGE,AV,AVERAGE,4,2,0,1397,6120.867,6497,1+attic+garage,Typical,Old but solid,1941,4,2,0,1397
0040E00096000000,248,,NOBLE AVE,PITTSBURGH,PA,,15205,5500,1952,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,4,2,0,1948,5500.481,5500,1+attic+garage,Pretty good,Pretty good,1952,4,3,0,1948
1510H00267000000,428,,W STARZ RD,GIBSONIA,PA,,15044,12600,1965,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,3,1,0,1014,10919.71,12632.4,1+garage,Typical,Pretty good,,3,2,0,
1266L00007000000,132,,CROSS ST,BUENA VISTA,PA,,15018,7988,1870,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,2,1,1,2004,7551.662,7988,2,Typical,,1870,2,1,1,2004
0435J00060000001,711,,MOONSTONE DR,ALLISON PARK,PA,,15101,12582,1963,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,2,1,1266,12033.61,12632.4,1+garage,Typical,,1963,3,2,1,1266
1516N00285000000,130,,LAMPUS LN,TARENTUM,PA,,15084,1089001,1950,C+,AVERAGE +,4,FAIR,FR,FAIR,4,2,1,1738,1101658,1089000,Not on streetview,Not on streetview,Looks kinda unfinished/stripped,1950,3,1,1,1992
1354C00284000000,5262,,RICHLAND RD,GIBSONIA,PA,,15044,49397,1960,C,AVERAGE,2,GOOD,GD,GOOD,4,2,2,2535,34449.73,33105.6,"2, but second is small",Typical,Pretty good/new,1960,4,2,2,2535
0950J00129000000,4461,,GREENGROVE DR,ALLISON PARK,PA,,15101,34192,1972,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,2,0,1883,30633.06,33976.8,1+garage,Typical,Pretty good,1972,3,2,0,1883
1505P00036000000,5284,,RICHLAND RD,GIBSONIA,PA,,15044,40075,1954,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,0,988,37586.26,40075.2,1,Typical,,1954,3,1,0,988
2088B00175000000,30,,RIDGE RD,MONONGAHELA,PA,,15063,139000,1880,D,BELOW AVERAGE,5,POOR,PR,POOR,2,1,0,1092,126478.9,138956.4,2,Fairly dilapidated,,1880,2,1,0,1092
0820R00044000000,185,,SWEETWATER DR,SEWICKLEY,PA,,15143,25869,2012,A-,VERY GOOD -,2,GOOD,GD,GOOD,4,4,1,3830,25943.09,25700.4,2,High quality new construction,Fancy,2012,4,4,1,3830
0564K00167000000,6514,,ZUPANCIC DR,PITTSBURGH,PA,,15236,9315,1968,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,2,1,1679,9743.786,9315,"2 I think, looks like split entry",Typical,,1968,3,2,1,1679
0548B00112000000,400,,WOODLAND RD,NORTH VERSAILLES,PA,,15137,8930,1950,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,2,1,0,998,8740.089,10890,2+garage,Typical,Pretty good,1955,3,3,0,
0033F00226000000,241,,ALICE ST,PITTSBURGH,PA,,15210,3480,1905,C,AVERAGE,3,AVERAGE,AV,AVERAGE,4,1,1,1672,3701.383,3480.44,2,Typical,Old but decent,1905,4,1,1,1672
0461E00022000000,949,,BENNETT ST,MC KEESPORT,PA,,15132,4500,1952,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,2,1,0,920,4579.071,4500,2,Typical,Old but decent,1953,2,1,0,920
0189E00032000000,5133,,EARLSDALE RD,PITTSBURGH,PA,,15234,8632,1958,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,3,1,1,1142,11142.43,8632,1+garage,Typical,,1958,3,1,1,1142
0940A00029000000,1781,,LOCUST RD,SEWICKLEY,PA,,15143,43560,1975,C,AVERAGE,3,AVERAGE,AV,AVERAGE,2,1,0,1500,41550.73,43560,1+garage,Typical,,1975,2,1,0,1500
0055H00032000A00,4311,,KISH WAY,PITTSBURGH,PA,,15217,662,1925,D+,BELOW AVERAGE +,3,AVERAGE,AV,AVERAGE,2,1,0,900,658.7707,,2,Typical,Old but solid,1925,2,1,0,900
0324L00143000000,6100,,CALEDONIA CT,BRIDGEVILLE,PA,,15017,2958,2001,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,2,2,0,1552,3110.171,2610,1,Pretty good,Old but decent,2001,3,2,0,1478
0132R00018000000,127,,W EUGENE AVE,HOMESTEAD,PA,,15120,2500,1906,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,0,1408,2562.365,2500,2,Typical,,1906,3,1,0,1408
0719B00265000000,2507,,TALL TIMBER DR,ALLISON PARK,PA,,15101,22763,1959,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,3,2,0,1806,22734.99,22651.2,2,Typical,Pretty good,1959,4,2,0,1806
0160A00089000000,900,,MALVERN RD,PITTSBURGH,PA,,15202,6235,1906,C-,AVERAGE -,2,GOOD,AV,AVERAGE,3,1,0,1406,6418.153,6235,2,Typical,Old but solid,1906,3,1,0,1406
0013C00305000000,15,,HOLT ST,PITTSBURGH,PA,,15203,1575,1905,D+,BELOW AVERAGE +,4,FAIR,FR,FAIR,2,1,1,1579,1400.171,3267,2,Typical,Stripped,1879,2,1,0,1010
0137D00031000000,2997,,WILLETT RD,PITTSBURGH,PA,,15227,5101,1950,C-,AVERAGE -,4,FAIR,FR,FAIR,3,1,1,944,5069.823,5101,1+garage,Pretty good,,1950,3,1,1,944
0035D00253000000,323,,TRAYMORE AVE,PITTSBURGH,PA,,15216,3000,1900,C-,AVERAGE -,4,FAIR,AV,AVERAGE,2,1,0,1248,3288.605,3000,2,Typical,,1900,2,1,0,1248
