municipality,municipality_valuation_ratio
Aleppo ,0.94491804717226
Aspinwall ,0.9316560546923398
Avalon ,1.0906254074081112
Baldwin Boro ,0.9762786508847892
Baldwin Twp ,0.9363694325008252
Bell Acres ,1.134557746276782
Bellevue ,1.1094098899056342
Ben Avon ,1.042146716146698
Ben Avon Heights ,1.0012777152846768
Bethel Park ,0.9642383600350853
Blawnox ,1.1705707098836102
Brackenridge ,0.9747275543006851
Braddock ,4.162612208060899
Braddock Hills ,1.1184823635224102
Bradford Woods,0.9284963541984863
Brentwood,1.0120026973290488
Bridgeville ,0.9682850648643628
CLAIRTON,1.3040773609938958
Carnegie ,1.053350390904477
Castle Shannon ,0.9483212178337839
Chalfant ,1.107412251445481
Cheswick ,0.9112722728307254
Churchill ,0.9769994136374377
Collier ,0.9718918210071394
Coraopolis ,1.2626383311804077
Crafton ,1.1708835906017012
Crescent ,1.002046907497748
DUQUESNE,1.287373792460405
Dormont ,1.1143423733004902
Dravosburg ,0.8873580048004217
East Deer ,1.038245995725826
East McKeesport ,1.0222144740667383
East Pittsburgh ,1.3617884467121615
Edgewood ,0.9529530477811976
Edgeworth ,0.955186342260346
Elizabeth Boro ,1.0392952958502106
Elizabeth Twp ,1.0841987666697144
Emsworth ,1.0607491086168412
Etna ,1.0617586634770575
Fawn ,1.2779494530969893
Findlay ,0.9997320040758751
Forest Hills ,0.9820822039132704
Forward ,1.1649889548278276
Fox Chapel ,0.8609019633742333
Franklin Park ,0.9155692737357168
Frazer ,1.1325036808912414
Glassport ,1.0425406258722996
Glen Osborne,1.0321407294111615
Glenfield ,1.6363864808054966
Greentree ,0.9558855197723026
Hampton ,0.9945446137124642
Harmar ,1.0126530324630636
Harrison ,1.024987311160535
Haysville ,1.799460159282626
Heidelberg ,1.0042293659942092
Homestead ,1.3009619705274658
Indiana ,1.019712257917117
Ingram ,1.1724876931315145
Jefferson Hills,1.0096611199400156
Kennedy ,0.9737940129383906
Kilbuck ,1.089966762537104
Leet ,1.0046504465559152
Leetsdale ,0.9008209654198128
Liberty ,1.0514329394164328
Lincoln ,1.2446167035777655
Marshall ,0.8992348305279392
McCandless ,0.9256279416772557
McDonald ,1.2670809589255814
McKEESPORT,1.3408322129446022
McKEESPORT ,3.7527250645882084
McKees Rocks ,1.1289949519014963
Millvale ,1.3536295064236272
Monroeville ,0.9805881001272476
Moon ,0.984685954923841
Mt. Oliver ,1.1469227605320444
Mt.Lebanon ,1.013647693230464
Munhall ,1.163289010176021
Neville ,1.122657889541323
North Braddock ,1.254794339432169
North Fayette ,0.9973047933653197
North Versailles ,1.0575986822937131
O''Hara ,0.9060625152023044
Oakdale ,1.0339965016646593
Oakmont ,0.9276633826447601
Ohio ,0.9082218335076663
PITTSBURGH,1.3145183018529898
Penn Hills ,1.1404205489035122
Pennsbury Village ,0.8429194955648311
Pine ,0.9088636762374204
Pitcairn ,1.0885778147192857
Pleasant Hills ,0.9984511346556005
Plum ,1.0126184957823294
Port Vue ,0.9312848951843072
Rankin ,1.4351858877160688
Reserve ,1.0488187982451562
Richland ,1.0167679601660347
Robinson ,0.9661282405392764
Ross ,0.9756604013665355
Rosslyn Farms ,0.9454810627718643
Scott ,0.9267625770330424
Sewickley ,1.0236836463007015
Sewickley Heights ,0.8200298883564083
Sewickley Hills ,0.9924958139169084
Shaler ,1.013375699299335
Sharpsburg ,1.0896533236819628
South Fayette ,0.9491330849540183
South Park ,1.020385929899295
South Versailles ,1.4354516098538155
Springdale Boro ,0.9602798628528112
Springdale Twp ,1.0458200832053872
Stowe ,1.1913846894208806
Swissvale ,1.097000303800992
Tarentum ,1.084400675112886
Thornburg ,1.0822157845746627
Trafford ,1.107533596469845
Turtle Creek ,0.9773990730820225
Upper St. Clair ,0.926191197231431
Verona ,1.152625681154431
Versailles ,1.1968395839817452
Wall ,1.4168021314263863
West Deer ,1.0073449067803903
West Elizabeth ,0.9032055159960956
West Homestead ,1.004822834704457
West Mifflin ,1.0672001996438845
West View ,1.0351631076463093
Whitaker ,1.1962030189214634
White Oak ,1.0585131040454243
Whitehall ,0.9650539182677145
Wilkins ,1.0064446225936647
Wilkinsburg ,1.30176625593937
Wilmerding ,1.189186833205191
