PARCEL_ID,PARCEL_ID_FROM_ADDRESS,PARCEL_ID_FROM_GEOMETRY,LISTING_ID,LATITUDE,LONGITUDE,ADDRESS,ZIP_CODE,PRICE,IS_VACANT
0104L00225000000,0104L00225000000,0104L00225000000,26066065,40.41702,-80.089863,600 N Bell Ave,15106,18.25,False
0175E00105000000,0175E00105000000,0175E00105000000,33582754,40.44893,-79.895449,7514 Thomas Blvd,15208,29.5,False
0175F00038000000,0175F00038000000,0175F00038000000,33582755,40.448506,-79.894666,201 N Braddock Ave,15208,19.0,False
0100D00170000000,0100D00170000000,0100D00170000000,17649270,40.392377,-80.069806,2090 Greentree Rd,15220,,False
0104L00050000000,0104L00050000000,0104L00050000000,26066070,40.41654,-80.087281,500 N Bell Ave,15106,,False
0002E00001000000,0002E00001000000,0002E00001000000,27246276,40.440472,-79.998796,351-355 5th Ave,15222,,False
0002B00051000000,0002B00051000000,0002B00051000000,27925106,40.441414,-79.994705,600 Grant St,15219,35.0,False
0001D00268000000,,0001D00268000000,21177231,40.440772,-80.001727,219 Forbes Ave,15222,,False
0669C00088000000,0669C00088000000,0669C00088000000,33622780,40.316175,-80.088417,2555 Washington Rd,15241,21.5,False
0141K00213000000,0141K00213000000,0141K00213000000,30064824,40.379152,-80.044958,731-733 Washington Rd,15228,22.0,False
0070N00120000002,0070N00120000002,0070N00120000002,5611727,40.445057,-80.080523,2260-2270 Roswell Dr,15205,8.95,False
0001H00334000000,,0001H00334000000,23281620,40.438934,-80.000642,322 Fourth Ave,15222,,False
0001H00185000000,,0001H00185000000,23281617,40.439798,-80.001754,235-239 4th Ave,15222,16.0,False
0264C00065000000,0264C00065000000,0264C00065000000,33677181,40.433579,-80.139516,200 Business Center Dr,15205,,False
0038A00085000000,0038A00085000000,0038A00085000000,37000081,40.421976,-80.063976,730 Holiday Dr,15220,13.5,False
0002M00027000000,0002M00027000000,0002M00027000000,36771118,40.437901,-79.98533,1425 Forbes Ave,15219,22.5,False
0038A00075000000,0038A00075000000,0038A00075000000,38917590,40.422975,-80.064024,750 Holiday Dr,15220,12.0,False
