municipality,municipality_valuation_ratio
Aleppo ,0.9032573033507785
Aspinwall ,0.9013856206279645
Avalon ,1.0770441569955755
Baldwin Boro ,0.9476106850414667
Baldwin Twp ,0.9028798224615121
Bell Acres ,1.092791871997882
Bellevue ,1.0901570626649089
Ben Avon ,1.0173694443534904
Ben Avon Heights ,0.8917097451064568
Bethel Park ,0.9262749034857793
Blawnox ,1.125161482493822
Brackenridge ,0.9646048603505228
Braddock ,4.197666102778145
Braddock Hills ,1.1731566205105999
Bradford Woods,0.9154370048692559
Brentwood,0.9907205976389037
Bridgeville ,0.9406369138583722
CLAIRTON,1.3541244167904138
Carnegie ,1.0111844428256918
Castle Shannon ,0.9202577199220332
Chalfant ,1.0176094334169128
Cheswick ,0.8703730678419241
Churchill ,0.9459164866663871
Collier ,0.9300086740139034
Coraopolis ,1.183630386626298
Crafton ,1.1053171859359416
Crescent ,0.970326289621582
DUQUESNE,1.3585722175257064
Dormont ,1.0617356935856215
Dravosburg ,0.8267239731411623
East Deer ,1.0201422375738887
East McKeesport ,0.9880365617826503
East Pittsburgh ,1.3440187305068836
Edgewood ,0.9137093898433961
Edgeworth ,0.9107834905372063
Elizabeth Boro ,1.0109952902085042
Elizabeth Twp ,1.0378204428139162
Emsworth ,1.0208669234149812
Etna ,1.0392571309892369
Fawn ,1.1942959564400888
Findlay ,0.9495830457164056
Forest Hills ,0.9656861772079244
Forward ,1.1630498719854288
Fox Chapel ,0.8366598519492008
Franklin Park ,0.8882298324096802
Frazer ,1.0991918318505185
Glassport ,1.018407569569826
Glen Osborne,1.024236749095231
Glenfield ,1.4987421806020995
Greentree ,0.9354743077389189
Hampton ,0.9480317330017554
Harmar ,1.0010056001332042
Harrison ,1.0005209750952087
Haysville ,1.6736342567999503
Heidelberg ,0.9906575822807109
Homestead ,1.4895823533965813
Indiana ,0.9897567515572813
Ingram ,1.0896563118608
Jefferson Hills,0.957683530451801
Kennedy ,0.936364146004398
Kilbuck ,1.0042509567660773
Leet ,0.9574963401204334
Leetsdale ,0.8816057607824571
Liberty ,1.0016743691599483
Lincoln ,1.2272257287980113
Marshall ,0.8704310095981799
McCandless ,0.8895776851189818
McDonald ,1.215681040534549
McKEESPORT,1.3485018269762385
McKEESPORT ,6.203613246765525
McKees Rocks ,1.0931480438699523
Millvale ,1.3583721636772907
Monroeville ,0.9518225916268737
Moon ,0.9333681547595909
Mt. Oliver ,1.0561037456382716
Mt.Lebanon ,0.9709640250757707
Munhall ,1.125070741188504
Neville ,1.1357450929327766
North Braddock ,1.2637441376478646
North Fayette ,0.9477283734534686
North Versailles ,1.0436944953938574
O''Hara ,0.884779543340336
Oakdale ,0.998843336332091
Oakmont ,0.8942884883326279
Ohio ,0.8644574458565313
PITTSBURGH,1.2675510973497286
Penn Hills ,1.1229383033320128
Pennsbury Village ,0.6971769388281619
Pine ,0.8730223017380686
Pitcairn ,1.082948160240643
Pleasant Hills ,0.9702461141114629
Plum ,0.9853168139292237
Port Vue ,0.8955589160145989
Rankin ,1.8575110027098973
Reserve ,1.0351996840241675
Richland ,0.9729362753430112
Robinson ,0.9232778085233446
Ross ,0.946554971435202
Rosslyn Farms ,0.8653156914335072
Scott ,0.8821421621111449
Sewickley ,0.9706948994575634
Sewickley Heights ,0.8652291825871748
Sewickley Hills ,0.9538316392426295
Shaler ,0.9737826524902089
Sharpsburg ,1.0961038073238192
South Fayette ,0.9013639581107893
South Park ,0.9737865334998503
South Versailles ,1.4699023459013252
Springdale Boro ,0.9248095196848198
Springdale Twp ,0.9854316341465414
Stowe ,1.166286502982475
Swissvale ,1.0899603309869743
Tarentum ,1.048216625430578
Thornburg ,1.0405931549559122
Trafford ,1.4612643334899136
Turtle Creek ,0.9893253121994403
Upper St. Clair ,0.898930638126929
Verona ,1.1386760811360581
Versailles ,1.2002375096478095
Wall ,1.3187141336189354
West Deer ,0.9800690739089227
West Elizabeth ,0.821344982770314
West Homestead ,0.9730423265473519
West Mifflin ,1.0391881918128902
West View ,0.9994531077961413
Whitaker ,1.1611270397586617
White Oak ,1.0008057592680195
Whitehall ,0.9218983903824709
Wilkins ,0.9940329872487468
Wilkinsburg ,1.2960145652857524
Wilmerding ,1.0237146100202072
