school_district,school_district_valuation_ratio
Allegheny Valley,0.9410912091784789
Avonworth,0.9128312323132466
Baldwin Whitehall,0.9350553967357615
Bethel Park,0.9262409894953234
Brentwood Boro,0.9907205976389037
Carlynton,1.0384551895138598
Chartiers Valley,0.9040216548346841
Clairton City,1.3541244167904138
Cornell,1.1748895672919546
Deer Lakes,0.9860580379482944
Duquesne City,1.3585722175257064
East Allegheny,1.0437626692256137
Elizabeth Forward,1.0533851419177134
Fort Cherry,1.215681040534549
Fox Chapel Area,0.9241709149726507
Gateway,0.9609673455770711
Hampton Township,0.9480317330017554
Highlands,1.0240993233092945
Keystone Oaks,0.9640136282900049
McKeesport Area,1.1870923969543197
Montour,0.9353540001098191
Moon Area,0.9361948626917964
Mt Lebanon,0.9709640250757707
North Allegheny,0.8862030380945725
North Hills,0.9553899966406577
Northgate,1.0854175321266568
Norwin,0.8129493456476878
Penn Hills Twp,1.1229383033320128
Penn-Trafford,1.4612643334899136
Pine-Richland,0.9217834616646888
Pittsburgh,1.2650522638381587
Plum Boro,0.9853168139292237
Quaker Valley,0.950318789261835
Riverview,0.945114491900733
Shaler Area,0.9942362164595282
South Allegheny,0.984000070057368
South Fayette Twp,0.9013639581107893
South Park,0.9737865334998503
Steel Valley,1.141172211718728
Sto-Rox,1.1392487674347722
Upper St Clair,0.898930638126929
West Allegheny,0.9530503883214321
West Jefferson Hills,0.962841191282545
West Mifflin Area,1.0461859247947634
Wilkinsburg Boro,1.2960145652857524
Woodland Hills,1.0495348102855329
