school_district,school_district_valuation_ratio
Allegheny Valley,0.9754732662402352
Avonworth,0.9614221776649314
Baldwin Whitehall,0.9688158550779218
Bethel Park,0.9637809139978344
Brentwood Boro,1.0120026973290488
Carlynton,1.0929732499439186
Chartiers Valley,0.9442710074624284
Clairton City,1.3040773609938958
Cornell,1.2323944241147191
Deer Lakes,1.014801217795413
Duquesne City,1.287373792460405
East Allegheny,1.0700241169644635
Elizabeth Forward,1.0903401015574254
Fort Cherry,1.2670809589255814
Fox Chapel Area,0.9453234914143882
Gateway,0.9884879934027905
Hampton Township,0.9945446137124642
Highlands,1.0460783795640758
Keystone Oaks,0.9947026090057278
McKeesport Area,1.199307585840795
Montour,0.9773041581794105
Moon Area,0.9857547492086018
Mt Lebanon,1.013647693230464
North Allegheny,0.9187719909402081
North Hills,0.985068608267329
Northgate,1.103732330031694
Norwin,0.9219057133906094
Penn Hills Twp,1.1404205489035122
Penn-Trafford,1.107533596469845
Pine-Richland,0.9610867521286482
Pittsburgh,1.31238245777315
Plum Boro,1.0126184957823294
Quaker Valley,0.9927910106238591
Riverview,0.9708804921706523
Shaler Area,1.0324330780354205
South Allegheny,1.0215967424342494
South Fayette Twp,0.9491330849540183
South Park,1.020385929899295
Steel Valley,1.1547333210055715
Sto-Rox,1.1659414662181973
Upper St Clair,0.926191197231431
West Allegheny,1.0012088746734964
West Jefferson Hills,1.0022137076224045
West Mifflin Area,1.0738789734872658
Wilkinsburg Boro,1.30176625593937
Woodland Hills,1.0597275502327872
